Index,BanyuleCityCouncil,BaysideCityCouncil,BoroondaraCityCouncil,BrimbankCityCouncil,CaseyCityCouncil,DarebinCityCouncil,FrankstonCityCouncil,GlenEiraCityCouncil,GreaterDandenongCityCouncil,HobsonsBayCityCouncil,HumeCityCouncil,KingstonCityCouncil,KnoxCityCouncil,MacedonRangesShireCouncil,ManninghamCityCouncil,MaribyrnongCityCouncil,MaroondahCityCouncil,MelbourneCityCouncil,MeltonCityCouncil,MonashCityCouncil,MooneeValleyCityCouncil,MorelandCityCouncil,NillumbikShireCouncil,PortPhillipCityCouncil,StonningtonCityCouncil,WhitehorseCityCouncil,WhittleseaCityCouncil,WyndhamCityCouncil,YarraCityCouncil
1427,0.692694325647017,0.578060932057669,0.700498214364446,0.893545258145584,0.0570301133107005,0.812221683347295,0,0.68129712093823,0.233741898505357,0.760283938097967,0.611084167364754,0.386931793130814,0.331643225607336,0.114919977073321,0.601693047043781,0.957475419955028,0.351152947400908,0.880384462766192,0.519465632026807,0.466271328424673,1,0.913209294122834,0.609959878312244,0.854018782240642,0.776266478550328,0.495568978440104,0.615625413341563,0.435518716105992,0.863938979762797
1428,0.663932286000261,0.569672309499978,0.670177118238392,0.980155794420993,0.0396884111580138,0.785782671134514,0,0.662256843204665,0.216001566647809,0.810022194177292,0.677227033378302,0.374798729274555,0.30397319291527,0.210300709343313,0.569389442534488,0.983898341964402,0.322011401714609,0.854345271769877,0.623373514948431,0.4391836024196,1,0.90019147917664,0.588515601201097,0.841877366290961,0.754101570999608,0.464663388311067,0.607315374907524,0.517885895817921,0.830258061708516
1429,0.656995818591187,0.560673314034523,0.656588399270934,1,0.0355098102283692,0.778878524713198,0,0.649812372681462,0.209477859976413,0.816747078374611,0.71450627211322,0.36736356813552,0.296043743969122,0.263471641470998,0.559429612951646,0.97235981558915,0.315342553875844,0.838254529859548,0.672327650905972,0.428948214860084,0.991229763053501,0.896536935777849,0.586726707408599,0.82794038812051,0.739894928701619,0.455237482577463,0.612244022729709,0.546606625924735,0.814538436796398
1430,0.697968614173949,0.599899345747358,0.720135425721737,0.911332753808848,0.055016699455552,0.818593585578991,0,0.705266047490506,0.239168229857711,0.785835201537265,0.596833966235073,0.400352289884248,0.335132909365421,0.0849384636500891,0.610559546140824,0.990048954568331,0.351420597520245,0.910852358512147,0.511369355355264,0.477192661389944,1,0.915610559546141,0.608294825456375,0.886672461911516,0.803403943816626,0.502676488081621,0.608866724619115,0.443015967424624,0.888548291165302
1431,0.690466431674727,0.537421100090171,0.658599065497172,0.907779326174277,0.0567874415935731,0.809287646528404,0,0.633576522665792,0.219669645052873,0.741905074186409,0.727395688171162,0.359660627920321,0.322260021313222,0.266825149602426,0.584761045987376,0.912492827280925,0.35113533896221,0.819124518403148,0.624969259775391,0.441532092794491,1,0.926653824083941,0.630297565374211,0.794388884334782,0.722087876055414,0.48065415197967,0.66021805065989,0.473296991556685,0.81080416427576
1432,0.691021684481596,0.535898955629586,0.659465756504323,0.892231600891087,0.0589425494083263,0.809295101064808,0,0.632978397269513,0.221095873612786,0.731386294426618,0.709640499499274,0.359602689611478,0.324490588403605,0.24701097508635,0.586298514173599,0.905046087187558,0.353307854237773,0.818165096364119,0.602893989249729,0.44313188497619,1,0.925586053260847,0.629769666251099,0.791779926015247,0.721371783604815,0.482515481616219,0.657217601013714,0.458051462322958,0.811154938788857
1433,0.741215953506456,0.535125954120367,0.679272310557227,0.867497493195817,0.0757566455890478,0.860519368899257,0,0.638774633188041,0.234923363414983,0.707901037509976,0.757586919598093,0.36478605193689,0.354165387684941,0.27650561728774,0.624327255612172,0.885771584095606,0.392289274970839,0.822927538011337,0.605582499437248,0.465651666768985,1,0.979659074631142,0.688931180551292,0.787586714961017,0.727239241205722,0.517036036589109,0.724558495508216,0.43321669019993,0.827634190762682
1434,0.718617010445725,0.533668628209566,0.665634990124412,0.898434159353302,0.0656879314206594,0.83736841033577,0,0.632668852191973,0.225713180346562,0.730243733583108,0.781148826128566,0.359980452444463,0.337684021909552,0.313392111746859,0.604304534625644,0.899981674166684,0.372971432062064,0.817148907576714,0.649976583657429,0.451487446804178,1,0.956018000040724,0.666856712345503,0.787909022418603,0.720877196554743,0.498381218057054,0.70566675490216,0.469324591232107,0.81539777239315
1435,0.705002652303423,0.534235116497327,0.668278451054801,0.853286816011752,0.067490920961358,0.822846533643449,0,0.63522666993104,0.228057289753948,0.704329375280532,0.679683355775901,0.361937405639205,0.336822132451953,0.207879381401232,0.599930632064308,0.884196352062676,0.367425633492471,0.819826988207451,0.55559636022361,0.453135838739952,1,0.937426041539152,0.642285877504386,0.787285265434366,0.723609580936059,0.4956951075203,0.664993675276452,0.419900436609948,0.818786469172073
1436,0.751589958158996,0.545836820083682,0.698075313807531,0.841255230125523,0.0810669456066946,0.873075313807531,0,0.654163179916318,0.243535564853557,0.695523012552301,0.69234309623431,0.374393305439331,0.364686192468619,0.197677824267782,0.638702928870293,0.882217573221757,0.400794979079498,0.84092050209205,0.54060669456067,0.479644351464435,1,0.992029288702929,0.689267782426778,0.800355648535565,0.744309623430962,0.530083682008368,0.711715481171548,0.397489539748954,0.849205020920502
1437,0.686257957060394,0.598325309726437,0.711766182208127,0.924136986926464,0.0502863400944579,0.806794588058135,0,0.700860161080563,0.234570718017751,0.795888566930571,0.598507837276689,0.397567820392891,0.326838394670195,0.092678363640512,0.599922425791143,1,0.341714390015743,0.904446827443017,0.52243948070912,0.469666202742476,0.995915946063109,0.905861415957471,0.597070432818454,0.88475666795957,0.798192977252504,0.492961281343403,0.598895708320975,0.456432955349198,0.878892970407721
1438,0.681200218221495,0.572285870158211,0.688423349699945,0.908216039279869,0.0525040916530278,0.800676486633934,0,0.672253136933988,0.227910529187125,0.76759410801964,0.62291325695581,0.381429350791053,0.322749590834697,0.136410256410256,0.589809056192035,0.961462084015276,0.341778505182761,0.868543371522095,0.539836333878887,0.45658483360611,1,0.905422804146208,0.600894708128751,0.846110201854883,0.765891980360065,0.484757228587016,0.609885433715221,0.451718494271686,0.849972722313148
